date,price
2006-02-22,36000
2006-02-23,36000
2006-02-24,36000
2006-02-25,36000
2006-02-26,36000
2006-02-27,36000
2006-02-28,36000
2006-03-01,36000
2006-03-02,36000
2006-03-03,36000
2006-03-04,36000
2006-03-05,36000
2006-03-06,36000
2006-03-07,36000
2006-03-08,36000
2006-03-09,36000
2006-03-10,36000
2006-03-11,36000
2006-03-12,36000
2006-03-13,36000
2006-03-14,36000
2006-03-15,36000
2006-03-16,36000
2006-03-17,36000
2006-03-18,36000
2006-03-19,36000
2006-03-20,36000
2006-03-21,36000
2006-03-22,36000
2006-03-23,36000
2006-03-24,36000
2006-03-25,36000
2006-03-26,36000
2006-03-27,36000
2006-03-28,36000
2006-03-29,36000
2006-03-30,36000
2006-03-31,36000
2006-04-01,36000
2006-04-02,36000
2006-04-03,36000
2006-04-04,36000
2006-04-05,36000
2006-04-06,36000
2006-04-07,36000
2006-04-08,36000
2006-04-09,36000
2006-04-10,36000
2006-04-11,36000
2006-04-12,36000
2006-04-13,36000
2006-04-14,36000
2006-04-15,36000
2006-04-16,36000
2006-04-17,36000
2006-04-18,36000
2006-04-19,36000
2006-04-20,35000
2006-04-21,35000
2006-04-22,35000
2006-04-23,35000
2006-04-24,35000
2006-04-25,35000
2006-04-26,35000
2006-04-27,35000
2006-04-28,35000
2006-04-29,35000
2006-04-30,35000
2006-05-01,35000
2006-05-02,35000
2006-05-03,35000
2006-05-04,35000
2006-05-05,35000
2006-05-06,35000
2006-05-07,35000
2006-05-08,35000
2006-05-09,35000
2006-05-10,35000
2006-05-11,35000
2006-05-12,35000
2006-05-13,35000
2006-05-14,35000
2006-05-15,35000
2006-05-16,35000
2006-05-17,36000
2006-05-18,36000
2006-05-19,36000
2006-05-20,36000
2006-05-21,36000
2006-05-22,36000
2006-05-23,36000
2006-05-24,36000
2006-05-25,36000
2006-05-26,36000
2006-05-27,36000
2006-05-28,36000
2006-05-29,36000
2006-05-30,36000
2006-05-31,36000
2006-06-01,36000
2006-06-02,36000
2006-06-03,36000
2006-06-04,36000
2006-06-05,36000
2006-06-06,36000
2006-06-07,36000
2006-06-08,36000
2006-06-09,36000
2006-06-10,36000
2006-06-11,36000
2006-06-12,36000
2006-06-13,36000
2006-06-14,36000
2006-06-15,36000
2006-06-16,36000
2006-06-17,36000
2006-06-18,36000
2006-06-19,36000
2006-06-20,36500
2006-06-21,37000
2006-06-22,37000
2006-06-23,37000
2006-06-24,37000
2006-06-25,37000
2006-06-26,37000
2006-06-27,37000
2006-06-28,37000
2006-06-29,37000
2006-06-30,37000
2006-07-01,37000
2006-07-02,37000
2006-07-03,37000
2006-07-04,37000
2006-07-05,37000
2006-07-06,37000
2006-07-07,37000
2006-07-08,37000
2006-07-09,37000
2006-07-10,37000
2006-07-11,37000
2006-07-12,38000
2006-07-13,38000
2006-07-14,38000
2006-07-15,38000
2006-07-16,38000
2006-07-17,38000
2006-07-18,38000
2006-07-19,38000
2006-07-20,38000
2006-07-21,38000
2006-07-22,38000
2006-07-23,38000
2006-07-24,38000
2006-07-25,38000
2006-07-26,38000
2006-07-27,38000
2006-07-28,38000
2006-07-29,38000
2006-07-30,38000
2006-07-31,38000
2006-08-01,38000
2006-08-02,38000
2006-08-03,38000
2006-08-04,38000
2006-08-05,38000
2006-08-06,38000
2006-08-07,39000
2006-08-08,39000
2006-08-09,39000
2006-08-10,39000
2006-08-11,39000
2006-08-12,39000
2006-08-13,39000
2006-08-14,39000
2006-08-15,39000
2006-08-16,39000
2006-08-17,39000
2006-08-18,39000
2006-08-19,39000
2006-08-20,39000
2006-08-21,39000
2006-08-22,39000
2006-08-23,39000
2006-08-24,39000
2006-08-25,39000
2006-08-26,39000
2006-08-27,39000
2006-08-28,39000
2006-08-29,40000
2006-08-30,40000
2006-08-31,40000
2006-09-01,40000
2006-09-02,40000
2006-09-03,40000
2006-09-04,40000
2006-09-05,40000
2006-09-06,40000
2006-09-07,40000
2006-09-08,40000
2006-09-09,40000
2006-09-10,40000
2006-09-11,40000
2006-09-12,40000
2006-09-13,40000
2006-09-14,40000
2006-09-15,40000
2006-09-16,40000
2006-09-17,40000
2006-09-18,40000
2006-09-19,40000
2006-09-20,40000
2006-09-21,40000
2006-09-22,40000
2006-09-23,40000
2006-09-24,40000
2006-09-25,40000
2006-09-26,40000
2006-09-27,40000
2006-09-28,40000
2006-09-29,40000
2006-09-30,40000
2006-10-01,40000
2006-10-02,39000
2006-10-03,39000
2006-10-04,39000
2006-10-05,39000
2006-10-06,39000
2006-10-07,39000
2006-10-08,39000
2006-10-09,39000
2006-10-10,39000
2006-10-11,39000
2006-10-12,39000
2006-10-13,39000
2006-10-14,39000
2006-10-15,39000
2006-10-16,39000
2006-10-17,38000
2006-10-18,38000
2006-10-19,38000
2006-10-20,38000
2006-10-21,38000
2006-10-22,38000
2006-10-23,38000
2006-10-24,38000
2006-10-25,37000
2006-10-26,37000
2006-10-27,37000
2006-10-28,37000
2006-10-29,37000
2006-10-30,37000
2006-10-31,37000
2006-11-01,37000
2006-11-02,37000
2006-11-03,37000
2006-11-04,37000
2006-11-05,37000
2006-11-06,37000
2006-11-07,37000
2006-11-08,37000
2006-11-09,37000
2006-11-10,37000
2006-11-11,37000
2006-11-12,37000
2006-11-13,37000
2006-11-14,37000
2006-11-15,37000
2006-11-16,37000
2006-11-17,37000
2006-11-18,37000
2006-11-19,37000
2006-11-20,37000
2006-11-21,37000
2006-11-22,37000
2006-11-23,37000
2006-11-24,37000
2006-11-25,37000
2006-11-26,37000
2006-11-27,37000
2006-11-28,37000
2006-11-29,37000
2006-11-30,37000
2006-12-01,37000
2006-12-02,37000
2006-12-03,37000
2006-12-04,37000
2006-12-05,37000
2006-12-06,37000
2006-12-07,37000
2006-12-08,37000
2006-12-09,37000
2006-12-10,37000
2006-12-11,37000
2006-12-12,37000
2006-12-13,37000
2006-12-14,37000
2006-12-15,37000
2006-12-16,37000
2006-12-17,37000
2006-12-18,37000
2006-12-19,37000
2006-12-20,37000
2006-12-21,37000
2006-12-22,37000
2006-12-23,37000
2006-12-24,37000
2006-12-25,37000
2006-12-26,37000
2006-12-27,37000
2006-12-28,37000
2006-12-29,37000
2006-12-30,37000
2006-12-31,37000
2007-01-01,37000
2007-01-02,37000
2007-01-03,37000
2007-01-04,37000
2007-01-05,37000
2007-01-06,37000
2007-01-07,37000
2007-01-08,37000
2007-01-09,37000
2007-01-10,37000
2007-01-11,37000
2007-01-12,37000
2007-01-13,37000
2007-01-14,37000
2007-01-15,37000
2007-01-16,37000
2007-01-17,37000
2007-01-18,37000
2007-01-19,37000
2007-01-20,37000
2007-01-21,37000
2007-01-22,37000
